[[177147,x^4+2*x^3+2*x^2+x],
[492075,x^4+2*x^3-x],
[2519424,2*x^4+4*x^3+3*x^2+x],
[2834352,x^4+x^3+2*x^2+x+1],
[3936600,2*x^4+x^3-3*x^2+x],
[4782969,3*x^4+6*x^3+4*x^2+x],
[8680203,x^4+2*x^3+4*x^2+3*x+2],
[10077696,2*x^4+3*x^3-4*x^2+x],
[10412307,x^4+12*x^3-7*x^2+x],
[10412307,x^4+2*x^3-3*x^2+x],
[10412307,x^4+2*x^3+3*x^2+x],
[10412307,x^4+5*x^3+3*x^2-8*x+3],
[10412307,x^4-x^2+x],
[10412307,x^4-x^2-x+1],
[10412307,x^4+x^3+2*x^2+x],
[10412307,x^4+x^3-x],
[10412307,x^4+x^3-x^2+1],
[10412307,x^4+x^3-x^2-2*x-1],
[13286025,3*x^4+2*x^3-6*x^2-7*x-2],
[14348907,x^4+x],
[18915363,x^4-3*x^2+3*x-1],
[18915363,x^4+3*x^3-3*x+2],
[18915363,x^4+6*x^3-5*x^2+x],
[18915363,x^4+x^2-x],
[18915363,x^4+x^3+x],
[20155392,x^4-3*x^2+2],
[20155392,x^4+3*x^2+2],
[20155392,x^4+x^3-2*x^2-2*x],
[22674816,2*x^4+4*x^3+5*x^2+3*x+1],
[22674816,2*x^4+4*x^3+x^2-x],
[31492800,x^4+3*x^3-3*x+1],
[31492800,x^4+x^3-6*x^2-5*x-1],
[38106288,x^4+7*x^3+5*x^2+x],
[38106288,x^4+x^3-x^2+x],
[38106288,x^4+x^3+x^2-x],
[38263752,6*x^4+9*x^3+5*x^2+x],
[39858075,x^4+2*x^3-2*x^2-3*x+2],
[47258883,x^4+20*x^3-9*x^2+x],
[47258883,x^4+2*x^3-x^2-x],
[47258883,x^4-3*x^2+x+1],
[47258883,x^4+3*x^3-4*x^2+x],
[47258883,x^4+6*x^3+5*x^2+x],
[47258883,x^4+7*x^3+8*x^2-15*x+4],
[47258883,x^4+x^3-3*x^2+1],
[61509375,5*x^4+10*x^3+6*x^2+x],
[68024448,6*x^4+11*x^3+6*x^2+x],
[68516523,x^4+2*x^2+x],
[68516523,x^4+2*x^3+x],
[68516523,x^4+4*x^3-4*x^2+x],
[69441624,2*x^4+3*x^3+4*x^2+2*x+1],
[70858800,x^4+3*x^3-x^2-4*x+2],
[83298456,2*x^4+3*x^3+5*x^2+4*x+1],
[83298456,2*x^4+3*x^3-8*x^2+5*x-1],
[89813529,3*x^4+4*x^3-x],
[89813529,3*x^4+8*x^3-6*x^2+x],
[106288200,6*x^4+x^3-11*x^2-9*x-2],
[113689008,x^4+3*x^3+x^2+x],
[113689008,x^4+x^3+3*x^2+x],
[114791256,2*x^4+3*x^3+3*x^2+x],
[116700507,x^4+2*x^3+6*x^2+5*x+6],
[123451776,2*x^4+3*x^3+2*x^2+x],
[129140163,x^4+2*x^3-3*x^2-3*x+3],
[129140163,x^4-3*x^2-x],
[129140163,x^4+3*x^3-x],
[129140163,x^4+9*x^3+6*x^2+x],
[135596187,x^4+2*x^3-2*x^2+x],
[135596187,x^4+2*x^3+2*x^2-x],
[142209675,x^4+4*x^3-5*x+2],
[148980627,x^4+2*x^3-x^2+x],
[148980627,x^4+x^3+2*x^2-x],
[151322904,2*x^4+11*x^3-16*x^2+7*x-1],
[151322904,2*x^4+3*x^3-3*x+1],
[161243136,2*x^4-3*x^2+1],
[161243136,2*x^4+3*x^2+1],
[181398528,4*x^4+17*x^3+8*x^2+x],
[181398528,x^4-5*x^2+6],
[181398528,x^4+5*x^2+6],
[204073344,2*x^4+x^3-2*x^2-x],
[212576400,3*x^4+x^3-5*x^2+2*x],
[212891328,x^4+5*x^3+4*x^2-5*x+1],
[225350667,x^4+4*x^3+2*x^2+x],
[229582512,x^4+3*x^3-3*x^2+x],
[229582512,x^4+x^3+2*x+2],
[229582512,x^4+x^3-x-1],
[234365481,3*x^4+6*x^3+2*x^2-x],
[246903552,x^4+2*x^3+3*x^2+2*x],
[246903552,x^4+x^3+3*x^2+x+2],
[251942400,2*x^4+2*x^3-3*x^2-x+1],
[269440587,x^4+2*x^2-3*x+1],
[269440587,x^4+2*x^3+2*x^2+x+1],
[269440587,x^4+2*x^3-4*x^2-5*x+6],
[269440587,x^4+2*x^3-4*x^2+x],
[269440587,x^4-4*x^2-3*x],
[269440587,x^4+x^3+2*x^2+2*x+1],
[269440587,x^4+x^3-x^2-x+1],
[272097792,6*x^4+10*x^3+x^2-5*x-2],
[281132289,3*x^4+35*x^3-33*x^2+10*x-1],
[281132289,3*x^4+4*x^3-3*x^2-x+4],
[304850304,2*x^4-2*x^2-x],
[304850304,2*x^4+2*x^3-2*x^2-3*x-1],
[304850304,2*x^4+2*x^3-2*x^2-x+1],
[304850304,2*x^4+4*x^3+4*x^2+x],
[304850304,2*x^4+x^3+x^2-3*x+1],
[307546875,x^4+2*x^3-2*x^2-x],
[307546875,x^4+2*x^3+4*x^2+3*x+1],
[314928000,10*x^4+13*x^3+6*x^2+x],
[318864600,2*x^4+3*x^3-2*x^2-2*x+1],
[318864600,2*x^4+3*x^3+5*x^2+3*x+2],
[322486272,4*x^4+6*x^3+4*x^2+x],
[358722675,x^4+2*x^3-3*x^2-5*x+5],
[358722675,x^4+3*x^2-x],
[358722675,x^4+3*x^3+x],
[358722675,x^4+9*x^3-6*x^2+x],
[378071064,2*x^4+3*x^3-3*x^2-4*x-1],
[378071064,2*x^4+5*x^3-11*x^2+6*x-1],
[380295243,x^4-3*x+2],
[380295243,x^4+6*x^3+4*x^2+x],
[385786800,x^4+5*x^3+3*x^2+x],
[385786800,x^4+5*x^3-7*x+3],
[385786800,x^4+x^3+2*x^2+4*x+2],
[408146688,x^4+2*x^3+5*x^2+4*x+1],
[408146688,x^4+2*x^3-x^2-2*x],
[408146688,x^4-x^2+1],
[408146688,x^4+x^2+1],
[431136432,x^4+3*x^3-x^2-x],
[431136432,x^4+x^3-3*x^2-x],
[431136432,x^4+x^3-4*x^2+2],
[486091368,14*x^4+17*x^3+7*x^2+x],
[492075000,10*x^4+15*x^3+7*x^2+x],
[492075000,10*x^4+x^3-18*x^2-14*x-3],
[503884800,4*x^4+6*x^3+x^2-x],
[510714801,3*x^4+17*x^3-21*x^2+8*x-1],
[510714801,3*x^4+2*x^3+3*x^2+5*x+2],
[510714801,3*x^4+2*x^3-3*x^2-x+1],
[510714801,3*x^4+4*x^3+3*x^2+x],
[510714801,3*x^4+4*x^3-x^2-3*x-1],
[510714801,3*x^4+5*x^3+4*x^2+x],
[510714801,3*x^4+x^3-2*x^2-x],
[535869675,x^4+2*x^3+8*x^2+7*x+12],
[535869675,x^4+6*x^3-4*x^2-11*x-4],
